
,Gene names,Location,median log conc uM median norm,conc uM
0,0610009B22RIK,"subcellular,not specified",-3.2947753331546,0.037076373943524
1,0610010K14RIK,astrocytes,-2.8363087304294,0.058641729376236
2,0610010K14RIK,neurons,-2.33508168008781,0.09680257536068
3,0610012G03RIK,"subcellular,not specified",-4.25912236762236,0.014134702040369
4,0610037L13RIK,astrocytes,-2.91379517124139,0.054269376965819
5,0610037L13RIK,neurons,-2.23566919338866,0.106920555378432
6,0610037L13RIK,"subcellular,not specified",-0.12501078138519,0.882487388096849
7,1110004E09RIK,astrocytes,-5.25968865651153,0.005196922494829
8,1110004E09RIK,"subcellular,not specified",-5.95922867013764,0.00258190270283
9,1110037F02RIK,astrocytes,-4.08427495888539,0.016835341206546
10,1110037F02RIK,neurons,-3.2893054779974,0.037279732001282
11,1110038F14RIK,astrocytes,-6.37201216387364,0.0017087175444
12,1110065P20RIK,"subcellular,not specified",-4.51304299190242,0.01096504282071
13,1190002N15RIK,astrocytes,-3.75842735517436,0.023320386236629
14,1600012H06RIK,astrocytes,-4.67761554184939,0.009301165706906
15,1700003H04RIK,"subcellular,not specified",-3.14180367879334,0.0432048
16,1700021F05RIK,astrocytes,-3.58249932017473,0.027806114951911
17,1700037H04RIK,astrocytes,-2.9297634001493,0.053409673371137
18,1700037H04RIK,neurons,-1.13350694165952,0.32190238175266
19,1700049G17RIK,astrocytes,-4.73359124091534,0.008794829905265
20,1810009N02RIK,astrocytes,-3.78992037200418,0.022597401165249
21,1810014F10RIK,astrocytes,-4.78110157930261,0.00838675520111
22,1810030O07RIK,astrocytes,-4.90816745598802,0.007386011127488
23,1810043G02RIK,astrocytes,-3.14932250653007,0.042881168739894
24,1810043G02RIK,neurons,-3.776333139594,0.022906532671769
25,1810043G02RIK,"subcellular,not specified",-5.29153433582529,0.00503403043789
26,2010005H15RIK,astrocytes,-5.42936655655881,0.004385873125503
27,2010005H15RIK,neurons,-5.8206629963436,0.002965638285503
28,2010300C02RIK,astrocytes,-2.05170951487404,0.128515017358253
29,2010300C02RIK,neurons,-2.79646249644177,0.061025559373662
30,2210010C04RIK,astrocytes,-2.73595667750907,0.064831954153863
31,2210010C04RIK,"subcellular,not specified",-4.42836380988225,0.011934
32,2210016F16RIK,astrocytes,-2.82222966215806,0.059473189646323
33,2210016F16RIK,neurons,-3.47712468340959,0.030896119564241
34,2210016F16RIK,"subcellular,not specified",-1.53729214828696,0.214962400340153
35,2310009B15RIK,"subcellular,not specified",-6.85010659585969,0.001059342765336
36,2310022A10RIK,astrocytes,-4.29567779185504,0.01362733207168
37,2310022A10RIK,large protein complex,-2.05570325387836,0.12800278546188
38,2310022A10RIK,neurons,-3.81278393898944,0.022086605526199
39,2310022A10RIK,"subcellular,not specified",-8.78723854009,0.000152668975375
40,2310035C23RIK,astrocytes,-3.85284785741832,0.02121922099368
41,2310035C23RIK,neurons,-2.72323977043504,0.065661680685969
42,2310061I04RIK,astrocytes,-5.87975828832394,0.002795460888918
43,2310061I04RIK,neurons,-4.63468123893373,0.009709201460543
44,2410002F23RIK,astrocytes,-3.61872449663249,0.026816859682448
45,2410002F23RIK,large protein complex,-2.76727703093738,0.062832863959078
46,2410002F23RIK,neurons,-1.56941224165639,0.208167498591471
47,2500003M10RIK,astrocytes,-3.13763584418594,0.043385246234468
48,2500003M10RIK,neurons,-2.90045734300907,0.054998061324902
49,2610044O15RIK8,"subcellular,not specified",-6.0797514426981,0.002288745466626
50,2610301B20RIK,astrocytes,-2.4418034441906,0.087003803387049
51,2610301B20RIK,neurons,-3.7016839717273,0.024681927786099
52,2610305J24RIK,astrocytes,-3.8357197218895,0.021585797107437
53,2700097O09RIK,astrocytes,-3.99763681059758,0.018358973396112
54,2700097O09RIK,neurons,-4.84668510233151,0.007854370878523
55,2700097O09RIK,"subcellular,not specified",-2.65421968286343,0.070353715461587
56,2810004N23RIK,astrocytes,-3.75290266314518,0.0234495807399
57,2810408M09RIK,astrocytes,-2.6631374607004,0.069729105861347
58,2810408M09RIK,neurons,-2.88188877282841,0.056028837085692
59,2810408M09RIK,"subcellular,not specified",-2.36949734691248,0.093527726465151
60,2900011O08RIK,astrocytes,-3.66372308670062,0.02563688647333
61,2900011O08RIK,"subcellular,not specified",-6.04799707034065,0.002362589370945
62,3110009E18RIK,"subcellular,not specified",-3.42956406410648,0.032401062480727
63,3110040N11RIK,astrocytes,-4.72346017793765,0.008884383752777
64,3110082I17RIK,astrocytes,-2.88582333235935,0.055808821406956
65,3110082I17RIK,neurons,-3.54607109376018,0.028837718061985
